id,bass_index,position,quality,description
3,0,0,minor,Root position minor triad missing fifth.
4,0,0,major,Root position major triad missing fifth.
5,1,-1,add5,Root with added 5th.
7,0,-1,add5,Root with added 5th.
8,1,1,major,First inversion major triad missing fifth.
9,2,1,minor,First inversion minor triad missing fifth.
33,0,0,diminished,Root position diminished triad.
34,0,0,minor,Root position minor triad.
35,2,1,major,First inversion major triad.
36,2,1,diminished,First inversion diminished triad.
43,0,0,major,Root position major triad.
44,0,0,augmented,Root position augmented triad.
45,2,2,minor,Second inversion minor triad.
53,1,2,minor,Second inversion minor triad.
54,1,2,major,Second inversion major triad.
63,1,2,diminished,Second inversion diminished triad.
69,0,0,diminished,Root posiition diminished triad.
78,0,0,minor,Root position minor triad.
79,0,0,major,Root position major triad.
87,1,1,major,First inversion major triad.
88,1,1,augmented,First inversion augmented triad.
89,2,2,minor,Second inversion minor triad.
96,1,1,diminished,First inversion diminished triad.
97,1,1,minor,First inversion minor triad.
98,2,2,major,Second inversion major triad.
99,2,2,diminished,Second inversion diminished triad.

//Seventh Chords major7, dominant7, minor7, halfdim7, dim7

14,1,3,major7,Third inversion major seventh chord missing fifth.
17,1,-1,add5maj7,Root with added 5th and major 7th.
23,1,3,minor7,Third inversion minor seventh chord missing fifth.
24,1,3,dominant7,Third inversion dominant seventh chord missing fifth.
37,0,0,minor7,Root position minor seventh chord missing fifth.
41,2,-1,add5maj7,Root with added 5th and major 7th.
46,0,0,dominant7,Root position dominant seventh chord missing fifth.
47,0,0,major7,Root position major seventh chord missing fifth.
58,2,3,major7,Third inversion major seventh chord missing fifth.
59,2,3,minor7,Third inversion minor seventh chord missing fifth.
62,2,1,dominant7,First inversion dominant seventh chord missing fifth.
68,2,3,major7,Third inversion dominant seventh chord missing fifth.
71,2,1,major7,First inversion major seventh chord missing fifth.
72,2,1,minor7,First inversion minor seventh chord missing fifth.
74,0,-1,add5maj7,Root with added 5th and major 7th.
87,2,-1,add5maj7,Root with added 5th and major 7th.
105,0,0,minor7,Root position minor seventh chord missing fifth.
106,0,0,dominant7,Root position dominant seventh chord missing fifth.
115,0,0,major7,Root position major seventh chord missing fifth.
118,0,-1,add5maj7,Root with added 5th and major 7th.
143,1,3,major7,Third inversion major seventh chord.
179,1,3,major7,Third inversion major seventh chord.
233,1,3,halfdim7,Third-inversion half-diminished seventh chord.
234,1,3,minor7,Third inversion minor seventh chord.
243,1,3,dominant7,Third inversion dominant seventh chord.
269,1,3,halfdim7,Third-inversion half-diminished seventh chord.
278,1,3,minor7,Third inversion minor seventh chord.
279,1,3,dominant7,Third inversion dominant seventh chord.
323,2,2,minor7,Second inversion minor seventh chord.
324,2,2,dominant7,Second inversion dominant seventh chord.
332,3,1,dominant7,First inversion dominant seventh chord.
333,0,-1,dim7,Fully diminished seventh chord.
334,0,0,halfdim7,Root position half-diminished seventh chord.
341,3,1,major7,First inversion major seventh chord.
342,3,1,halfdim7,First-inversion half-diminished seventh chord.
343,0,0,minor7,Root position minor seventh chord.
359,3,2,minor7,Second inversion minor seventh chord.
368,3,2,dominant7,Second inversion dominant seventh chord.
369,0,-1,dim7,Fully diminished seventh chord.
378,0,0,halfdim7,Root position half-diminished seventh chord.
379,0,0,minor7,Root position minor seventh chord.
414,2,2,major7,Second inversion major seventh chord.
423,2,2,halfdim7,Second-inversion half-diminished seventh chord.
432,3,1,minor7,First inversion minor seventh chord.
433,0,0,dominant7,Root position dominant seventh chord.
